"paper","da_label","descriptive","inferential","machine_learning","method"
"http://orkg.org/orkg/resource/R198797","analysis","descriptive",,,"coding"
"http://orkg.org/orkg/resource/R198833","analysis","descriptive",,,"coding"
"http://orkg.org/orkg/resource/R198856","analysis","descriptive",,,"coding"
"http://orkg.org/orkg/resource/R198994","analysis","descriptive",,,"coding"
"http://orkg.org/orkg/resource/R200098","analysis","descriptive",,,"coding"
"http://orkg.org/orkg/resource/R200119","analysis","descriptive",,,"coding"
"http://orkg.org/orkg/resource/R195519","analysis","descriptive",,,"coding"
"http://orkg.org/orkg/resource/R199149","analysis","descriptive",,,"coding"
"http://orkg.org/orkg/resource/R193467","analysis","descriptive",,,"mapping"
"http://orkg.org/orkg/resource/R285781","analysis","descriptive",,,"gap analysis"
"http://orkg.org/orkg/resource/R285790","analysis","descriptive",,,"brokerage concept"
"http://orkg.org/orkg/resource/R194093","analysis","descriptive",,,"behavioural analysis"
"http://orkg.org/orkg/resource/R211294","analysis","descriptive",,,"process analysis"
"http://orkg.org/orkg/resource/R288808","analysis","descriptive",,,"message sequence chart"
"http://orkg.org/orkg/resource/R288808","analysis","descriptive",,,"linguistic analysis"
"http://orkg.org/orkg/resource/R369685","analysis","descriptive",,,"scenario analysis"
"http://orkg.org/orkg/resource/R369685","analysis","descriptive",,,"trade-Off Analysis"
"http://orkg.org/orkg/resource/R249016","analysis","descriptive",,,"Structured Transition Systems"
"http://orkg.org/orkg/resource/R254495","analysis","descriptive",,,"root cause analysis"
"http://orkg.org/orkg/resource/R254508","analysis","descriptive",,,"social network analysis"
"http://orkg.org/orkg/resource/R285790","analysis","descriptive",,,"social network analysis"
"http://orkg.org/orkg/resource/R555217","analysis","descriptive",,,"automated varibility analysis"
"http://orkg.org/orkg/resource/R556363","analysis","descriptive",,,"Knowledge Base Analysis "
"http://orkg.org/orkg/resource/R279126","analysis","descriptive",,,"commitment analysis"
"http://orkg.org/orkg/resource/R558790","analysis","descriptive",,,"semantic parameterization"
"http://orkg.org/orkg/resource/R280754","analysis","descriptive",,,"semantic parameterization"
"http://orkg.org/orkg/resource/R576757","analysis","descriptive",,,"goal decomposition "
"http://orkg.org/orkg/resource/R576776","analysis","descriptive",,,"antipattern analysis"
"http://orkg.org/orkg/resource/R199023","analysis","descriptive",,," observation"
"http://orkg.org/orkg/resource/R221801","analysis","descriptive",,,"eye tracking method"
"http://orkg.org/orkg/resource/R195749","analysis","descriptive",,,"Ticket-commit network chart"
"http://orkg.org/orkg/resource/R195806","analysis","descriptive",,,"Scenarios"
"http://orkg.org/orkg/resource/R288432","analysis","descriptive",,,"Noramlized mutual information score"
"http://orkg.org/orkg/resource/R369339","analysis","descriptive",,,"preliminary analysis "
"http://orkg.org/orkg/resource/R288494","analysis","descriptive",,,"preliminary analysis "
"http://orkg.org/orkg/resource/R198833","analysis","descriptive",,,"multidimensional modeling"
"http://orkg.org/orkg/resource/R198994","analysis","descriptive",,,"Cross-case synthesis"
"http://orkg.org/orkg/resource/R200045","analysis","descriptive",,,"causal component model"
"http://orkg.org/orkg/resource/R288766","analysis","descriptive",,,"retrospective analysis "
"http://orkg.org/orkg/resource/R221156","analysis","descriptive",,,"sensitivity analysis"
"http://orkg.org/orkg/resource/R280347","analysis","descriptive",,,"Strategic release planning analysis"
"http://orkg.org/orkg/resource/R280347","analysis","descriptive",,,"operational release planning analysis"
"http://orkg.org/orkg/resource/R280347","analysis","descriptive",,,"robustness analyses"
"http://orkg.org/orkg/resource/R280347","analysis","descriptive",,,"multi-criteria decision analyses"
"http://orkg.org/orkg/resource/R280818","analysis","descriptive",,,"Forensic system verification"
"http://orkg.org/orkg/resource/R369339","analysis","descriptive",,,"mind maps"
"http://orkg.org/orkg/resource/R369685","analysis","descriptive",,,"Persona-Scenario-Goal methodology"
"http://orkg.org/orkg/resource/R554468","analysis","descriptive",,,"consistency checking"
"http://orkg.org/orkg/resource/R287812","analysis","descriptive",,,
"http://orkg.org/orkg/resource/R287863","analysis","descriptive",,,
"http://orkg.org/orkg/resource/R288801","analysis","descriptive",,,
"http://orkg.org/orkg/resource/R211438","analysis","descriptive",,,
"http://orkg.org/orkg/resource/R220383","analysis","descriptive",,,
"http://orkg.org/orkg/resource/R211198","analysis","descriptive",,,
"http://orkg.org/orkg/resource/R211474","analysis","descriptive",,,
"http://orkg.org/orkg/resource/R211502","analysis","descriptive",,,
"http://orkg.org/orkg/resource/R220371","analysis","descriptive",,,
"http://orkg.org/orkg/resource/R220390","analysis","descriptive",,,
"http://orkg.org/orkg/resource/R220611","analysis","descriptive",,,
"http://orkg.org/orkg/resource/R220810","analysis","descriptive",,,
"http://orkg.org/orkg/resource/R220838","analysis","descriptive",,,
"http://orkg.org/orkg/resource/R221163","analysis","descriptive",,,
"http://orkg.org/orkg/resource/R222366","analysis","descriptive",,,
"http://orkg.org/orkg/resource/R225574","analysis","descriptive",,,
"http://orkg.org/orkg/resource/R227501","analysis","descriptive",,,
"http://orkg.org/orkg/resource/R227551","analysis","descriptive",,,
"http://orkg.org/orkg/resource/R249021","analysis","descriptive",,,
"http://orkg.org/orkg/resource/R264011","analysis","descriptive",,,
"http://orkg.org/orkg/resource/R265006","analysis","descriptive",,,
"http://orkg.org/orkg/resource/R276009","analysis","descriptive",,,
"http://orkg.org/orkg/resource/R276045","analysis","descriptive",,,
"http://orkg.org/orkg/resource/R279116","analysis","descriptive",,,
"http://orkg.org/orkg/resource/R159690","analysis","descriptive",,,
"http://orkg.org/orkg/resource/R280329","analysis","descriptive",,,
